S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00220634	0.429689	-0.00091422	179.892	-4.82242e-006	161.142	0.00498798	0.148438	+1.00067734E+01	+6.18527907E-03	54.906	0
0.00220706	0.429689	-0.00091422	179.892	-4.82055e-006	161.126	0.00498679	0	+1.00067720E+01	+6.18819810E-03	55.218	0
0.00220777	0.437502	-0.000913981	179.892	-4.81497e-006	160.915	0.00498775	0.0234376	+1.00067707E+01	+6.18596497E-03	55.546	0
0.00220658	0.437502	-0.000913624	179.892	-4.81683e-006	160.712	0.00498822	0.070313	+1.00067760E+01	+6.18351426E-03	55.843	0
0.00220729	0.429689	-0.000913266	179.892	-4.83173e-006	160.587	0.00498727	-0.0625005	+1.00067758E+01	+6.18523331E-03	56.171	0
0.00220777	0.429689	-0.000913147	179.892	-4.84663e-006	160.603	0.00498775	0.00781256	+1.00067749E+01	+6.18478172E-03	56.484	0
0.00220729	0.437502	-0.000912789	179.892	-4.83732e-006	160.642	0.00498822	-0.00781256	+1.00067801E+01	+6.18658363E-03	56.796	0
0.00220729	0.429689	-0.000912432	179.892	-4.81497e-006	160.634	0.00498703	0.0390627	+1.00067760E+01	+6.18697718E-03	57.109	0
0.00220658	0.421877	-0.000912074	179.892	-4.79262e-006	160.392	0.00498655	-0.00781256	+1.00067776E+01	+6.18369270E-03	57.406	0
0.00220682	0.429689	-0.000911955	179.892	-4.80379e-006	160.188	0.00498679	0.0468752	+1.00067757E+01	+6.18791158E-03	57.718	0
0.00220658	0.429689	-0.000911836	179.892	-4.85781e-006	160.282	0.00498727	0.0234376	+1.00067742E+01	+6.18764003E-03	58.046	0
0.00220777	0.429689	-0.000911836	179.892	-4.90437e-006	160.399	0.00497153	0.203126	+1.00067760E+01	+6.18534843E-03	58.359	0
0.00220729	0.421877	-0.000911955	179.892	-4.90624e-006	160.446	0.00498727	0.00781256	+1.00067743E+01	+6.18603150E-03	58.656	0
0.00220729	0.429689	-0.000912312	179.892	-4.90996e-006	160.462	0.00498775	0.0468752	+1.00067797E+01	+6.18797672E-03	58.968	0
0.00220777	0.437502	-0.000912432	179.892	-4.90624e-006	160.407	0.00498775	0.00781256	+1.00067805E+01	+6.18837702E-03	59.296	0
0.00220801	0.421877	-0.000912432	179.892	-4.87457e-006	160.478	0.00498703	-0.0546877	+1.00067745E+01	+6.18515102E-03	59.593	0
0.0022278	0.335939	-0.000912432	179.892	-5.36817e-006	156.173	0.00498775	-0.0234376	+1.00067774E+01	+6.18462591E-03	59.937	0
0.00221707	0.382814	-0.000912789	179.884	-8.42108e-006	139.321	0.00498703	0.0937505	+1.00067772E+01	+6.18271268E-03	60.234	0
0.00221993	0.539066	-0.000913981	179.884	-1.02539e-005	134.532	0.00498727	0.0390627	+1.00067814E+01	+6.18771192E-03	60.546	0
0.00222065	0.351564	-0.00091565	179.899	-9.90561e-006	134.813	0.00498798	0.148438	+1.00067722E+01	+6.18709966E-03	60.859	0
0.00221588	0.429689	-0.000917081	179.915	-8.57568e-006	137.774	0.00498822	-0.0625005	+1.00067679E+01	+6.18600047E-03	61.171	0
0.00221874	0.453127	-0.000917796	179.931	-7.24386e-006	142.837	0.0049887	-0.0937505	+1.00067726E+01	+6.19001802E-03	61.484	0
0.00221659	0.398439	-0.000918154	179.931	-6.25107e-006	148.634	0.00498894	0.109375	+1.00067777E+01	+6.18847080E-03	61.781	0
0.00221421	0.437502	-0.000918392	179.938	-5.57679e-006	153.954	0.0049887	0.0234376	+1.00067788E+01	+6.18657556E-03	62.109	0
0.00221588	0.429689	-0.000918511	179.931	-5.19495e-006	157.649	0.00498751	0.0781255	+1.00067851E+01	+6.18909767E-03	62.406	0
0.00221445	0.414064	-0.000918631	179.931	-4.98819e-006	159.735	0.00498679	0.101563	+1.00067783E+01	+6.19035591E-03	62.734	0
0.00221373	0.429689	-0.000918511	179.931	-4.8932e-006	160.923	0.00498751	0.0546877	+1.00067795E+01	+6.18991851E-03	63.031	0
0.00221397	0.414064	-0.000918034	179.931	-4.85408e-006	161.501	0.0049887	0.179688	+1.00067817E+01	+6.18786585E-03	63.343	0
0.00221421	0.429689	-0.000917438	179.923	-4.82801e-006	161.72	0.00498775	0	+1.00067803E+01	+6.19007683E-03	63.656	0
0.00221445	0.429689	-0.000916962	179.923	-4.82801e-006	161.978	0.00498822	0.0468752	+1.00067762E+01	+6.18906517E-03	63.984	0
0.00221278	0.421877	-0.000916604	179.923	-4.82987e-006	162.157	0.00498822	0.101563	+1.00067824E+01	+6.19111727E-03	64.281	0
0.00221492	0.414064	-0.000916366	179.923	-4.84477e-006	162.259	0.0049887	0.0156251	+1.00067790E+01	+6.19193361E-03	64.593	0
0.0022154	0.421877	-0.000916366	179.923	-4.8783e-006	162.235	0.00498894	0.0234376	+1.00067749E+01	+6.19242161E-03	64.906	0
0.00221612	0.429689	-0.000916366	179.923	-4.91555e-006	162.063	0.00498775	0.0468752	+1.00067788E+01	+6.19075970E-03	65.234	0
0.00221588	0.429689	-0.000916246	179.923	-4.94908e-006	161.985	0.00498727	-0.0156251	+1.00067753E+01	+6.19343642E-03	65.546	0
0.00221397	0.421877	-0.000916366	179.923	-4.97329e-006	162.009	0.00498727	0.187501	+1.00067756E+01	+6.19318848E-03	65.843	0
0.00221445	0.414064	-0.000916485	179.931	-4.98633e-006	162.142	0.00498679	0.00781256	+1.00067808E+01	+6.18984076E-03	66.156	0
0.00221707	0.429689	-0.000916604	179.931	-4.99192e-006	162.103	0.00498822	-0.00781256	+1.00067827E+01	+6.19216167E-03	66.484	0
0.00221659	0.429689	-0.000916604	179.931	-4.96212e-006	161.806	0.00498894	0.156251	+1.00067804E+01	+6.19213131E-03	66.796	0
0.00221445	0.414064	-0.000916366	179.931	-4.90996e-006	161.665	0.00498775	0.179688	+1.00067837E+01	+6.19247764E-03	67.093	0
0.00221707	0.421877	-0.000916246	179.931	-4.88202e-006	161.806	0.00498751	-0.00781256	+1.00067746E+01	+6.19026250E-03	67.421	0
0.00221612	0.421877	-0.000916246	179.931	-4.9081e-006	162.126	0.00498942	0	+1.00067841E+01	+6.19163881E-03	67.734	0
0.00221635	0.429689	-0.000916485	179.931	-4.97702e-006	162.571	0.00498822	0.156251	+1.00067748E+01	+6.19097090E-03	68.031	0
0.00221492	0.421877	-0.000916962	179.931	-5.01986e-006	162.899	0.00498822	0.109375	+1.00067734E+01	+6.18952656E-03	68.343	0
0.00221612	0.429689	-0.000917081	179.931	-5.05711e-006	163.032	0.0049887	0.257814	+1.00067757E+01	+6.18820881E-03	68.671	0
0.00221421	0.421877	-0.000916962	179.931	-5.09995e-006	163.149	0.00498798	0.125001	+1.00067802E+01	+6.18904457E-03	68.968	0
0.00221397	0.429689	-0.000916604	179.931	-5.08878e-006	163.087	0.00498846	0.203126	+1.00067756E+01	+6.19018419E-03	69.281	0
0.00221588	0.421877	-0.000916366	179.923	-5.04221e-006	162.782	0.00498894	0	+1.00067772E+01	+6.19239877E-03	69.609	0
0.00221564	0.429689	-0.000916008	179.915	-4.98074e-006	162.36	0.00498894	-0.0312502	+1.00067754E+01	+6.18919694E-03	69.921	0
0.00221325	0.429689	-0.000915889	179.915	-4.91182e-006	161.767	0.00498942	-0.0625005	+1.00067783E+01	+6.18804270E-03	70.218	0
0.00221445	0.429689	-0.000915769	179.915	-4.8634e-006	161.392	0.00498942	0.0781255	+1.00067777E+01	+6.19196867E-03	70.531	0
0.00221445	0.429689	-0.000915531	179.915	-4.83546e-006	161.274	0.0049887	0.101563	+1.00067769E+01	+6.19351870E-03	70.843	0
0.00221111	0.421877	-0.000915293	179.915	-4.88016e-006	161.399	0.00498942	0.0234376	+1.00067686E+01	+6.19143765E-03	71.156	0
0.00221111	0.437502	-0.000915054	179.915	-4.99564e-006	161.899	0.00498965	0.117188	+1.00067747E+01	+6.19197619E-03	71.484	0
0.00221254	0.429689	-0.000914577	179.915	-5.05339e-006	162.048	0.00498965	0.0546877	+1.00067770E+01	+6.19245463E-03	71.781	0
0.00221492	0.429689	-0.000914101	179.907	-5.04221e-006	161.868	0.00499156	-0.0234376	+1.00067736E+01	+6.19284763E-03	72.109	0
0.00221612	0.429689	-0.000913981	179.907	-4.97329e-006	161.704	0.00499156	0.0156251	+1.00067761E+01	+6.19083938E-03	72.406	0
0.00221492	0.429689	-0.000914101	179.915	-4.90065e-006	161.61	0.00499323	0.0390627	+1.00067752E+01	+6.19154890E-03	72.718	0
0.00221445	0.429689	-0.000914339	179.915	-4.85595e-006	161.665	0.00499156	0.125001	+1.00067776E+01	+6.18855397E-03	73.031	0
0.00221421	0.429689	-0.000914697	179.915	-4.82801e-006	161.634	0.00499156	0.148438	+1.00067789E+01	+6.18614655E-03	73.359	0
0.00221707	0.429689	-0.000914935	179.915	-4.8131e-006	161.634	0.00499156	-0.0312502	+1.00067798E+01	+6.18848706E-03	73.671	0
0.00221731	0.429689	-0.000915293	179.915	-4.81683e-006	161.813	0.00499156	0	+1.00067794E+01	+6.18960981E-03	73.968	0
0.00221731	0.421877	-0.000915412	179.923	-4.83173e-006	161.938	0.00499156	0.0234376	+1.00067813E+01	+6.18846008E-03	74.281	0
0.0022185	0.429689	-0.000915769	179.923	-4.82987e-006	161.782	0.00499132	0.171876	+1.00067796E+01	+6.18874681E-03	74.593	0
