temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.07045031E+00	+9.47248119E-01	0.00173975	0.523441	-0.000124947	-179.321	-1.0917e-005	-179.54	0.00242569	0.0234376	162.078	0
+1.07044701E+00	+9.46536712E-01	0.00173999	0.523441	-0.000121512	-179.103	-1.08742e-005	-179.54	0.00242569	0.0234376	162.406	0
+1.07045156E+00	+9.46544371E-01	0.00174022	0.523441	-0.000123204	-179.72	-1.08444e-005	-179.563	0.00242569	0.0234376	162.703	0
+1.07045361E+00	+9.41823370E-01	0.00173999	0.515629	-0.00012421	-179.415	-1.08164e-005	-179.712	0.00242569	0.0234376	163.031	0
+1.07045594E+00	+9.41820222E-01	0.00173999	0.515629	-0.000124843	-178.728	-1.07941e-005	-179.907	0.00242569	0.0234376	163.328	0
+1.07045366E+00	+9.39783562E-01	0.00174022	0.515629	-0.0001245	178.923	-1.08015e-005	179.954	0.00242569	0.0234376	163.641	0
+1.07045497E+00	+9.36928750E-01	0.00173975	0.523441	-0.000122295	178.649	-1.08388e-005	179.993	0.00242569	0.0234376	163.953	0
+1.07045611E+00	+9.36929700E-01	0.00173975	0.515629	-0.000123137	-178.274	-1.085e-005	-179.845	0.00242569	0.0234376	164.266	0
+1.07045929E+00	+9.34193305E-01	0.00174022	0.515629	-0.000123129	-179.845	-1.08183e-005	-179.712	0.00242569	0.0234376	164.578	0
+1.07046247E+00	+9.32057090E-01	0.00173999	0.523441	-0.000123219	-178.985	-1.07885e-005	-179.735	0.00242569	0.0234376	164.906	0
+1.07046297E+00	+9.32056065E-01	0.00173975	0.523441	-0.000123487	-178.915	-1.0781e-005	-179.743	0.00242569	0.0234376	165.203	0
+1.07045954E+00	+9.29308930E-01	0.00173975	0.515629	-0.000123807	-179.298	-1.07475e-005	-179.72	0.00242569	0.0234376	165.516	0
+1.07045443E+00	+9.27141886E-01	0.00174022	0.515629	-0.000121214	179.97	-1.06991e-005	-179.743	0.00242521	0.0234376	165.828	0
+1.07045642E+00	+9.26368000E-01	0.00173999	0.523441	-0.000122563	-179.954	-1.06842e-005	-179.821	0.00242521	0.0234376	166.141	0
+1.07046301E+00	+9.22274874E-01	0.00173975	0.515629	-0.000123844	-179.704	-1.06972e-005	-179.946	0.00242521	0.0234376	166.469	0
+1.07046062E+00	+9.22272171E-01	0.00173975	0.523441	-0.000123442	-179.438	-1.07047e-005	179.985	0.00242521	0.0234376	166.766	0
+1.07046034E+00	+9.20639600E-01	0.00174022	0.523441	-0.00012137	179.251	-1.07121e-005	-179.907	0.00242521	0.0234376	167.078	0
